SÕNA,DEFINITSIOON,TASE
tungima,"kuhugi intensiivselt, jõuga või muu liikuma",B1
tunnistaja,"isik, kes teab kriminaal-, tsiviil- või haldusasjasse puutuvaid fakte ja on võimeline nende kohta andma õigeid ütlusi",B1
tunnistama,"kehtivaks pidama, maksvaks pidama, õigeks pidama, väärtuslikuks pidama",B1
tunnus,"miski, mis millelegi viitab või mille järgi midagi järeldatakse või oletatakse, äratundmist võimaldav märk",B1
tunnustus,"kehtivaks, õigeks, sobivaks tunnistamine",B1
tupp,terariista vm ümbritsev ja kaitsev ese,B2
turg,ostu- ja müügitehingute pidevalt toimiv süsteem,A1
turism,reisimisega seotud valdkonda hõlmav majandusharu,B1
turniir,loomade võitlusmängude kohta,A2
turvakontroll,"isikute ja nende asjade kontrollimine relvade, lõhkeainete ja muu selline leidmiseks",B2
turvaliselt,kaitstud ja ohutul moel,B1
tuttav,"varasemate kokkupuudete põhjal tuntud või teada, varem nähtud, kohatud või kogetud, mitte võõras ega tundmatu",A2
tuul,kõrgrõhualalt madalrõhualale liikuv õhk,A1
tuumik,mingi kollektiivi tooniandev osa,C1
tõdema,tõeks või tõsiasjaks tunnistama,B2
tõke,"tõkkejooksu distantsile püstitatud kunstlik takistus, mis tuleb hüpates ületada",B2
tõlge,ühest keelest teise keelde tõlkimine,A2
tõmbama,kuju või pikkust muutma,A2
tõmbuma,"tahapoole liikuma , eemalduma, taanduma või muu sellise",B2
tõmmu,inimese nahavärvi või looma karvkatte kohta,B2
tõrjevahend,midagi tõrjuv aine vms,B2
tõrjuma,"vastupanu osutama, mitte kuuletuma",B2
tõstma,"ülespoole, kõrgemale liigutama või panema",A2
tõus,"ülespoole, kõrgemale tõusmine",B1
tõusma,kerkima,A1
tädipoeg,tädi meessoost laps,A2
täditütar,tädi naissoost laps,A2
tähelepanelikult,"hästi keskenduval, tähelepanu keskendaval",B1
tähelepanu,"üldine huvi, mis tekitab soovi rohkem teada saada",A2
tähelepanuvõime,"võime keskenduda, hoolega jälgida ja märgata",B2
tähendama,"teatud tähendust, sisu, mõtet kandma, millelegi osutama, viitama, millegi märgiks olema",A1
tähendus,sõnumi kavatsetud või väljendatud sisu,B1
tähtaeg,määratud ajavahemik või ajahetk,B1
tähtsustama,tähtsaks pidama,B2
täidlane,"külluslik, küps, raske",B2
täielikult,"ootamatul, järsul ja kiirel viisil",B1
täiendama,lisaoskusi õppima,B2
täienema,"millegi lisamisega või lisandumisega rohkenema, suurenema, kasvama, põhjalikumaks, täiuslikumaks minema",B2
täis,"väljendab teatud piirini, normini, suuruseni jõudmist",A2
täitma,täis panema,A2
täna,kõnehetkega samal päeval,A1
tänane,"täna tulev, olev või olnud, tekkiv või tekkinud, toimuv või toimunud ja nii edasi, käesoleva päeva",A2
tänav,"ühelt või mõlemalt poolt majade, tarade või muu sellise piiratud",A1
tänavu,käesoleval aastal,B2
tänu,"osutab sellele, kelle või mille tõttu miski on hästi läinud, võimalikuks saanud",A2
tänukiri,tänuks antav hrl kunstipäraselt kujundatud tunnistus,B2
täpselt,mitmeti mõistetavusi välistavana,A2
täpsus,"lubatav viga, suurim võimalik kõrvalekalle",B1
tärn,sõjaväelase eraldusmärk,B2
töine,"tööga seotud, tööd täis",B2
töö,"konkreetne töö, mida keegi on kohustatud tegema",A1
töökindel,"tõrgeteta, häireteta töötav",B2
töökoht,"koht, kus täidetakse oma tööülesandeid",A2
tööline,"harilikult tootmistegevuses vahetult osalev, peamiselt kehalist või muus mõttes lihtsat tööd tegev palgatöötaja",A2
töötaja,"isik, kellel on töö või teenistus",A2
töötlema,mingit ainet või mingi ainega,B1
töötu,ilma tööta,A2
töövõimetus,haigusest või vigastusest põhjustatud ajutine või püsiv töövõime kaotus,B2
tühi,"näljatunde, söömata oleku kohta",A2
tühjalt,"selliselt, et midagi pole",B2
tünn,halvustavalt paksu inimese kohta,B2
tüse,"laiusmõõtudelt suur, paks, priske, jäme",B2
tüüp,inimese kohta,B1
uba,harilikult põllukultuurina kasvatatav liblikõieline suurte seemnetega kaunvili,B1
udu,"veepiisakeste, jääkristallide või nende segu kogum Maa pinna kohal",B1
uhtuma,"kuskilt üle käima või kuskile vastu loksuma, üle või vastu käies kulutama või endaga kaasa viima",C1
ujula,"spordirajatis, kus harrastatakse ujumist ja teised veespordialasid",B1
ujuma,vees edasi liikuma ilma põhja toetumata,A1
ujumispüksid,ujumisel kantavad spordipüksid,B1
uks,"hingedel või rullidel liikuv takistus, mis sulgeb pääsu mingisse ruumi",A1
ulatus,"vahemaa või ala, mida miski hõlmab või milleni miski ulatub",B2
ulatuslikult,mitmekülgne või mitmekesine eksisteerimine,B2
umbes,täpselt määratlemata,A2
ummik,"seda tekitav esemete, inimeste ja nii edasi kogum",B1
ummistama,umbe ajama,B2
unustama,"peast välja heitma, mälust kustutama, oma südamest välja rebima",A1
uppuma,"tulemusena on kaotsiminek, mitte suremine",B1
uputama,muredest või probleemidest vabanema,B2
usaldama,milleski või kelleski kindel olema,B1
usaldusväärne,"kindel, järeleproovitud",B2
usinalt,nobedal ja jõudsal viisil,B2
uskumatult,imestama ja hämmastama paneval moel,B2
usutavasti,veendumuste või uskumuste kohaselt,B2
uudis,uus informatsioon kindlate ja ajaliste asjade kohta,A2
uuendama,olemasolevat asja või nähtust parendama,B2
uuesti,"algusest peale, kuid teisiti",A2
uurima,üle või läbi vaatama,B1
uurimus,"kirjalik dokument, mis kirjeldab inimese või inimestegrupi uurimistulemusi",B1
uus,"hiljuti või äsja valminud, avastatud, tehtud või muu",A1
vaal,kokkuriisutud või kokku kuhjatud piklik hunnik,B1
vaatama,"mingist seisukohast, vaatepunktist lähtuma, seda silmas pidama",A1
vaateväli,silmaga haaratav ala,C1
vaba,"selline, keda ei takista, piira, seo korraldused, keelud, kohustused või muu sellise ning kes võib oma tahte järgi toimid",A1
vabadusvõitlus,võitlus oma vabaduse eest,B2
vabameelne,"vabamõtteline, eelarvamusteta, usuliselt salliv",B2
vabandama,millegagi või midagi õigustama,A1
vabariik,"poliitiline süsteem, kus valitsevad inimesed või nende seast valitud esindajad",A1
vabastama,"midagi seljast, küljest, ümbert ära võtma",B1
vaene,varandust mitte omav,A2
vaenulik,vaenlasele kuuluv,B2
vaev,ebamugav või ebameeldiv jõupingutus,B1
vaevalt,väljendab kahtlust mingi tegevuse või olukorra võimalikkuse suhtes,A1
vaevu,lühikesel ja põgusal viisil,B2
vagun,rööbasteedel kasutatav järelveetav või iseliikuv veok,A2
vahe,millegi vahel olev ala või ruum,B1
vaheaeg,paus mingi töö tegemisest,B1
vahel,"osutab millegi paiknemisele kusagil, milleski",A2
vahelt,muutuste kohta millegi ruumilises või ajalises vahemikus,B2
vahemik,kahe suuruse vahele jääv ala teatud mõõtude astmikus,B2
vahepeal,poolel teel millegi poole,B1
vahetama,asendama millegi või kellegi teisega,A2
vahetuma,"üksteise asemele asuma, üksteist välja vahetama",B2
vahetus,töötamise aeg vahetustega töö korral,B1
vahtima,pärani silmi või ainiti vaatama,B2
vaieldav,"selline, mille üle on põhjust vaielda",B2
vaikselt,aeglasel liikumisviisil,A2
vaimulik,usutalituste sooritamiseks ja usuelu juhtimiseks ametisse pühitsetud isik,B2
vajuma,tulema või minema,B2
vajutama,minema,B1
valama,"valuvormi sisestades või muul viisil selliselt vormima, et see tardudes omandab soovitud kuju",A2
vald,ühiskondlik-territoriaalne haldusüksus,A2
valdama,"oma võimuses, enda käes pidama",B1
valdavalt,"suuremalt jaolt, suuremalt osalt, enamikul juhtudel",B2
valeandmed,ebaõiged andmed,B2
valem,"piltlikult reegel, juhis",B2
valesti,mitte õigel viisil,A2
valge,valgust omav,A1
valguma,minema või tulema,C1
valgus,"metafoorne, kasutuses ainult sisekohakäändeis",B1
valitsema,"tahte all hoidma, oma tahte järgi suunama, millegi üle peremees olema",B1
vall,"jää, mulla, kivide vm sisaldav looduslikult tekkinud kuhjatis",B2
vallutama,mingit ala või objekti relvajõul oma valdusse võtma,B2
valmima,"õigel, oodatud ajal lõpetama",B1
valmistuma,mingi ilmastikunähtuse lähenemise kohta,B1
valu,füüsilise vigastuse või haiguse sümptom,A2
valusalt,valuaistingut põhjustavana,B1
valutu,"raskusteta, kergesti toimuv",B2
vana,pika eaga või vanusega,A1
vanadus,vastandina noorusele,B2
vanemlik,vanemale omane,B2
vang,"keegi, kes on kuskil kinni, ei saa liikuda või lahkuda",B1
vanker,"juhikutel veerev masina, mehhanismi või muu seadme osa",B1
vannitama,hrl vannis pesema või kümmelda laskma,B2
vannituba,"ruum ehitises, kus harilikult on vann või duss",A2
vapralt,kartmatul ja kindlal meelel,B2
varblane,väike pruun Euroopa laululind,B1
varem,enne kõnehetke mingi lühema ajavahemiku jooksul,A2
vari,valguse takistuse tõttu tekkinud tumedam kogu,A2
varjama,"varjuks olema, valgusvoo teed takistama, kedagi või midagi kaitsma",B2
varsti,lühikese ajavahemiku jooksul tulevikus,A1
varustama,"kellelegi või kuhugi midagi vajalikku andma, hankima",B2
varustus,"esemed või vahendid, mis on vajalikud mingi ülesande täitmiseks",B1
vasakul,"vasakul pool, vasakut kätt",A2
vastama,harilikult küsimusele reageerima,A1
vastand,"miski, mille järjestus, mõju või iseloom on vastupidine",B2
vastandama,"midagi millelegi vastukaaluks, kõrvale või võrdluseks seadma, vastu panema, vastu asetama",B2
vastane,"millegi või kellegi vastu olev või toimiv, millegagi vastuolus olev, midagi ennetav vms",B1
vastas,otse kellegi või millegi esikülje,B1
vastaspool,"vastas asuv, teine pool",B2
vastu,millelegi või kellelegi puudutades pihta,A1
vastuvõtlik,"haiguste, nakkuste või muu sellise suhtes nõrga vastupanuvõimega",B2
vastuvõtt,pidulik üritus väikese einelauaga austuse avaldamiseks,A2
vatt,kraasitud kohev puuvilla- või muu kiudainemass,B1
vedama,"hästi minema, õnne olema",B1
vedel,"selline, mis ei hoia kindlat kuju, mitte tahke ega gaasiline",B1
vedelik,"aine, mis on vedel toatemperatuuril",B2
veel,"osutab, et sündmus võib toimuda eeldatavalt tulevikus, hiljem",A1
veenvalt,"millessegi uskuma paneval moel, kahtlusi välistavana",B2
vein,"alkohoolne jook, mis on valmistatud kääritatud viinamarja- või muu mahlast",A1
vene,venelaste või nende keelega seotud,A1
venitama,"vaevaliselt, läbi häda midagi saavutama",B2
vereringe,vere pidev ringlemine organismis,B2
veresoon,"soon, mida mööda ringleb veri",B2
verine,"verega kaetud, verega koos",B2
vesi,värvitu maitsetu vedelik,A1
veski,"masin, mille abil midagi jahvatatakse, purustatakse",B2
vest,"ülakeha kattev käisteta riideese, mida kantakse",B1
vetikas,vees elav või koos seentega samblikke moodustav alam taim,B2
vidin,siutsatuste seeria,B2
vigane,"vigastatud, kehaveaga",B2
vigur,etturist tugevam malend,C1
viha,emotsionaalselt tugev negatiivne tunne,A2
vihkama,"kellegi suhtes vaenulikult meelestatud olema, kellegi vastu sügavat viha tundma",B1
viilutama,viiludeks lõikama,B2
viima,"midagi mingisse sihtkohta siirdama, liigutama, panema",A1
viimaks,"millegi eelneva või eelnenu järel, lõpus",B2
viimane,"muudest või kõigest muust tagapool, peale muid olev või olnud",A1
viimati,mõne aja eest minevikus,B2
viin,värvitu kange alkohoolne jook,A2
viisa,"passile tehtav märge, millega antakse õigus riiki sissesõiduks või riigist välja- või läbisõiduks",A2
viitsima,midagi teha tahtma,B1
viivis,"makse, mida nõutakse rahalise või muu kohustuse täitmisega viivitamise eest",B1
viivitama,midagi tegema hiljem kui planeeritud,B2
vili,"saavutatu,",B1
vilistama,väljendama või häälitsema vilega,B2
vilkur,vilkuv märguandeseadeldis,B2
villane,villakiust tehtud või töödeldud,B1
viltu,ebaõigel või ebaõnnestunud viisil,B2
virtuaalne,"võimalikuna käsitatav, põhimõtteliselt võimalik, kuid tegelikult mittetoimuv",B2
virutama,"täie hooga, jõuga midagi kuhugi viskama",C1
virvendama,"tunnete, meeleolu või muu sellise vaevumärgatava avaldumise, ähmase aimumise kohta",C1
visalt,sihikindlal moel,B2
viskama,"midagi vahele või vastu ütlema, lühidalt, hooletult või järsult lausuma",A1
viski,linnastest saadud kääritatud meskit destilleerides ja destillaati tammevaadis laagerdades valmistatud kange alkohoolne jook,B2
vist,"osutab oletatavale või loodetavale võimalusele, milles siiski ei olda päris kindel",A1
visuaalselt,"nägemise kaudu tajutavana, nägemisel või nägemistajul põhinevana, nägemistaju järgi määrataval või teostataval moel",B2
vitamiin,"orgaaniline ühend, mida on normaalseks elutegevuseks vaja kõigile inim- ja loomorganismidele",B1
volitus,teatud ameti või institutsiooniga kaasnevad õigused ja kohustused,B1
volüüm,kehavorm,B2
voog,veemass,C1
vool,vedelikele iseloomulik liikumine,B2
voolama,suurel hulgal ühes suunas liikuma,B1
voor,"võistluse või muu sellise suhteliselt iseseisev osa, järk, ring",B1
vormistama,millestki osavõtuks või kellegi vastuvõtule kirja panema,B1
vurama,vurinat kuuldavale laskma,C1
või,"rõhutav sõna lause alguses või teisel kohal väljendab imestust, kahtlust, üleolekut, halvakspanu, nt kas tõesti, ega ometi",A1
võidu,võisteldes,B2
võidujooks,võistlemine jooksus,B2
võileib,"leiva- või saiaviil koos vorsti, juustu vms-ga",A1
võimaldama,"võimalikuks tegema, pakkuma",B2
võimalikult,"sellisel moel, et miski on teostatav, elluviidav, saavutatav",B2
võime,millegi tegemiseks vajalik,A2
võimendama,signaali amplituudi või võimsust välise energiaallika kulul suurendama,B2
võistkond,mingil kindlal alal võistlemiseks kokkupandud meeskond,B1
võitma,ettenähtust või -arvatust vähem kulutama,A2
võlgnevus,"võla olemasolu, võlgu olek",B2
võpatama,asendi või muu järsu muutuse kohta,C1
võrdlema,"kaht erilaadset eset või nähtust kujundlikult samale tasemele asetama, samaväärseks pidama",A2
võrdne,"pooleks, pool sulle pool mulle",B1
võrdselt,pooleks jagatud moel,B1
võrk,"harilikult niidist, nöörist või traadist kootud, heegeldatud, sõlmitud või põimitud korrapärase augustikuga kangas või sellest valmistatud tarbeese",B1
võrsuma,"võrseid moodustama või kasvatama, võrseid ajama",C1
võte,võtmisel kujunenud seong või seisund,B2
võtma,enda kätte füüsiliselt võtma,A1
võõranduma,"kaugemaks, võõramaks või üksildaseks ja hüljatuks muutuma",C1
võõrsil,kodumaast või kodust eemal,B2
väel,teatud riietusese,B2
vägisi,sunniviisiliselt ja jõudu kasutades,B2
vägistama,"kellegi või millegi kallal jõudu, vägivalda kasutama",B2
vägivaldne,vägivalda kasutades sooritatav või sooritatud,B2
vähe,"alla omaduse, koguse või muu sellise algse, hariliku, eeldatud või ettenähtud määra",A1
vähehaaval,aeglasel liikumisviisil,B2
vähemalt,mitte vähem kui,A2
väidetavalt,"nii, et keegi on midagi öelnud või väitnud",B2
väike,"suuruse, mõõtmete, hulga või muu poolest alla keskmise",A1
väisama,"kedagi või midagi külastama, kellegi juurde külaskäiku tegema",C1
väli,mingi suurema pinna osa,B1
väline,väljastpoolt tulev,B1
välismaailm,väljaspool inimese teadvust eksisteeriv objektiivne reaalsus,B2
välja,"seest, seestpoolt pealispinnale või millestki ümbritsevast esile",A1
väljak,"piiratud maa-ala, mida kasutatakse või mis on rajatud mingiks otstarbeks",A2
väljapoole,millegi piiridest välja või välimisele küljele,B1
väljapääs,majast või ruumist välja pääsemise koht,A2
väljas,kuskilt seest või alt väljaspool,A1
väljendama,kuuldavale tooma,B1
väntama,"vändaga käivitama, vända abil midagi ringi ajama, tiirlema panema",C1
värav,ukselaadne liikuv sein aia sees,A2
värisema,"tugevasti kartma, hirmu tundma",B1
värske,"äsja saadud, valminud vms toidupoolis",A2
värskelt,loomuliku hea kvaliteediga,B2
värskus,"äsjavalminud, mitte halvaks läinud ega aegunud",B2
värv,"asjade nähtav omadus, mis sõltub valgusest, mida nad tekitavad, vahendavad või peegeldavad",A1
värviline,"värvi, värvust omav",B1
väänama,"jõudu kasutades midagi oma kohalt kangutama, kedagi asendit või kuju muutma panema",B2
väärt,midagi või kedagi vääriv,B1
väärtus,inimese või teatud grupi ideaal,B1
õde,samade vanemate naissoost järglane,A1
õhk,hingamiseks vajalik gaaside segu,A1
õhkama,"millegi või kellegi järele igatsema, millegi või kellegi poole püüdlema",C1
õhtuti,"kõigil neil ajahetkedel, kui lõuna on läbi saanud ja öö pole veel alanud",B1
õhuke,suhteliselt väikese ristlõikepinnaga,B1
õiend,kirjeldav ja kinnitav dokument,B2
õiendama,"seisukohta, fakti, arvamust jne õigeks tegema",C1
õige,kooskõlas üldiste standarditega või arvamustega,A1
õigus,"abstraktne mõiste sellest, mis mingile isikule või asutusele kuulub seaduse, traditsiooni või loomu poolest",A2
õigustama,millelegi vastav või millelegi vääriline olema,B2
õli,veega mitte lahustuv paksem vedelik,A2
õmblusmasin,"seade riidest, nahast vms materjalist tooteosade niidiga ühendamiseks",B1
õnneks,"kõneleja rahulolevat suhtumist, rahulolutunnet märkiv sõna mingi soovitud, meeldiva asjaolu puhul",B1
õnnelik,seda väljendav,A2
õnnestuma,"mingit tegevust või ülesannet tulemuslikult täitma, sellega toime saama",B1
õnnetu,"halvastimineku, lootuste nurjumise või muu sellise tõttu rõõmutu ja kurb",A2
õnnis,"selline, kes saavutab või on saavutanud õndsuse, igavese elu",C1
õnnistama,kellelegi või millelegi Jumala õnnistust paluma või soovima,C1
õpilane,"inimene, kes on mingi õppeasutuse liige",A1
õppekava,"hariduse andmise põhieeskiri, mis hõlmab õppe-eesmärke, õppeainete mahu ning sisu üldise kirjelduse",B2
õppekeel,õpetamise keel,A2
õu,"maa-ala, mis ümbritseb ehitisi",A1
õõnes,selliseks kulunud või uuristatud,C1
õõnestama,vastutegevusega või oma mõjuga midagi kahjustama,C1
ägenema,"mõjult, ulatuselt ägedamaks minema, tugevamaks muutuma",B2
ähvardama,"kedagi omapoolse hädaohu, vägivallaga või muu hoiatades tahtma panna midagi tegema",B1
äratama,uneseisundist ärkvele ajama,B1
äratuntav,"selline, kelle või mille võib ära tunda, kes või mis on tuvastatav",B2
ärkvel,mitte uneseisundis,C1
ärritama,"elunditele, kudedele ja muu selline häirivalt mõjuma, neis ebameeldivat reaktsiooni esile kutsuma",B2
